kernel,nx,ny,threads,samples,median_mlups,mad_mlups,speedup_vs_aos_1t,parallel_efficiency
aos,16,16,1,10,4.314921,0.0061505,1,1
auto,16,16,1,10,6.4510825,0.010386,1.49506387,1
neon,16,16,1,10,7.269528,0.022718,1.68474185,1
soa,16,16,1,10,5.428569,0.009863,1.25809233,1
aos,64,64,1,10,4.3875,0.0013575,1,1
auto,64,64,1,10,4.281417,0.04369,0.975821538,1
neon,64,64,1,10,7.481506,0.022839,1.70518655,1
soa,64,64,1,10,3.6706095,0.0668565,0.836606154,1
aos,128,128,1,10,4.105506,0.0067665,1,1
auto,128,128,1,10,3.3148755,0.0649105,0.807421911,1
neon,128,128,1,10,4.919077,0.030953,1.19816583,1
soa,128,128,1,10,2.7412275,0.0325835,0.667695407,1
aos,256,256,1,10,4.0488015,0.003145,1,1
auto,256,256,1,10,2.950127,0.0743725,0.728642044,1
neon,256,256,1,10,4.7237195,0.020636,1.16669575,1
soa,256,256,1,10,2.5299495,0.0677185,0.624863802,1
aos,512,512,1,10,3.997825,0.002192,1,1
auto,512,512,1,10,2.2487225,0.0114765,0.562486477,1
neon,512,512,1,20,4.197682,0.040161,1.04999143,1
neon,512,512,2,10,7.9539715,0.053448,1.98957471,0.947424257
neon,512,512,3,10,11.1860805,0.055773,2.79804156,0.88827441
neon,512,512,4,10,13.5930285,0.06588,3.40010593,0.809555637
soa,512,512,1,10,1.893972,0.011971,0.473750602,1
